U_over_t,doping,S_rung,S_leg_r1,S_leg_r2,S_leg_r3,total_vorticity,plaquette_mean
0.5,0,-0.1257,-0.1282,0.0071,-0.0384,845,23.7
0.5,1,-0.0612,-0.1403,0.0021,0.0095,630,15.4
0.5,2,-0.0336,-0.1683,-0.0228,0.0023,431,7.47
1.0,0,-0.1411,-0.1438,0.0173,-0.0503,790,22.9
1.0,1,-0.0674,-0.1530,0.0051,0.0101,602,14.6
1.0,2,-0.0425,-0.1783,-0.0266,0.0089,391,6.15
2.0,0,-0.1811,-0.1856,0.0485,-0.0803,608,20.6
2.0,1,-0.0834,-0.1786,0.0138,0.0116,504,12.6
2.0,2,-0.0649,-0.1918,-0.0328,0.0237,300,3.93
3.0,0,-0.2323,-0.2374,0.0886,-0.1124,409,18.0
3.0,1,-0.1028,-0.2023,0.0243,0.0136,387,10.4
3.0,2,-0.0873,-0.1990,-0.0376,0.0379,227,2.60
4.0,0,-0.2852,-0.2849,0.1225,-0.1346,270,16.8
4.0,1,-0.1220,-0.2218,0.0340,0.0167,287,8.63
4.0,2,-0.1065,-0.2022,-0.0416,0.0498,175,1.87
